DeptCode,BCL Name,ProgramName,2019 Actuals,2020 Adopted,2021 Adopted
FAS,City Purchasing and Contracting Services,Purchasing Services,2998293,3944751,3845332
FAS,City Services,City Services,2745115,3578182,2485743
FAS,Debt Issuance Cost - LTGO,LTGO Debt Issuance Cost,228511,1899780,6194281
FAS,Facilities Services,Other Facilities Services,6329655,20624598,19692445
FAS,Facilities Services,Space Rent,72464301,60995781,67435801
FAS,FAS Oversight-External Projects,FAS Oversight - External Proj,2182717,1092446,2500000
FAS,FAS Project Delivery Services,FAS Project Delivery Services,13833443,3500000,3500000
FAS,FileLocal Agency,FileLocal Agency Fund,0,435958,365395
FAS,Fleet Capital Program,Fleet Capital Program,15069032,24052848,14500000
FAS,Fleet Services,Motorpool,900914,893636,1065080
FAS,Fleet Services,Vehicle Fueling,7621426,11876567,11876494
FAS,Fleet Services,Vehicle Leasing,1316827,1466296,1265506
FAS,Fleet Services,Vehicle Maintenance,27596805,28681133,27364577
FAS,Garden of Remembrance,Garden of Remembrance,43869,29218,30065
FAS,General Government Facilities - General,General Govt Facilities,7190210,5000000,180000
FAS,Indigent Defense Services,Indigent Defense Services,9168751,9606474,9606474
FAS,Information Technology,Information Technology,153376,1470000,8000000
FAS,Jail Services,Jail Services,17895224,18539147,18539147
FAS,Judgment & Claims Claims,GF Claims,7205091,1792109,1792109
FAS,Judgment & Claims Claims,Utility Claims Reimbursable,0,1732070,1732070
FAS,Judgment & Claims General Legal,GF General Legal,0,88321,88321
FAS,Judgment & Claims Litigation,GF Expenses,3902988,2347863,2347863
FAS,Judgment & Claims Litigation,GF Judgments,6156237,15089019,14439019
FAS,Judgment & Claims Litigation,Utility Expenses Reimbursable,495689,2468932,2468932
FAS,Judgment & Claims Litigation,Utility Judgments Reimbursable,115618,3580747,3580747
FAS,Judgment & Claims Police Action,GF Police Action,1335261,1120918,1120918
FAS,Leadership and Administration,Citywide Indirect Costs,9197764,8135298,7115341
FAS,Leadership and Administration,Departmental Indirect Costs,4965869,5899470,8457006
FAS,Leadership and Administration,Divisional Indirect Costs,5145017,6228461,6757270
FAS,Leadership and Administration,Indirect Cost Recovery Offset,-19307796,-20263228,-22329617
FAS,Leadership and Administration,Paid Time Off,0,0,0
FAS,Leadership and Administration,Pooled Benefits,0,0,0
FAS,Neighborhood Fire Stations,Neighborhood Fire Stations,3450098,3386913,3723378
FAS,Office of Constituent Services,Office of Constituent Services,5988270,7056906,6725328
FAS,Pike Place Mkt,Pike Place Mkt Waterfront Entr,0,0,6000000
FAS,Public Safety Facilities Fire,Public Safety Facilities_Fire,338197,2000000,5220000
FAS,Regulatory Compliance and Consumer Protection,RCCP - ICMS System Work,0,0,0
FAS,Regulatory Compliance and Consumer Protection,Reg Compl & Consumr Protection,8838385,9781700,9760735
FAS,Seattle Animal Shelter,Seattle Animal Shelter,5696914,6719249,6610002
FAS,Seattle Public Safety Facilities Debt Service,Seattle Public Safety Facility Debt Service,0,0,0
FAS,Transit Benefit,Employee Transit Benefits,6480381,7113000,4996000
FAS,UTGO Debt Service,UTGO Debt Service,22768800,22761750,22764200
FAS,Wheelchair Accessible Services,Wheelchair Accessible Svcs,865749,1627375,1099641
FG,Appropriation to Special Funds,Appropriation to Special Funds,180211171,183761018,278524335
FG,General Purpose,General Purpose,0,0,137110959
FPEN,Firefighters Pension,Death Benefits,12915,19000,19000
FPEN,Firefighters Pension,Leadership and Administration,859577,889362,926461
FPEN,Firefighters Pension,Medical Benefits,9394014,12500000,12250000
FPEN,Firefighters Pension,Pensions,6095315,7828000,7825000
HSD,Addressing Homelessness,City-Managed Homelessness Programs,0,0,6445906
HSD,Addressing Homelessness,Contract Oversight and Administration,0,0,928403.0125
HSD,Addressing Homelessness,Homelessness Prevention and Support,17177527,25721640,0
HSD,Addressing Homelessness,King County Regional Homelessness Authority,0,0,133594289
HSD,Addressing Homelessness,Navigation Team,1740577,2559377,0
HSD,Addressing Homelessness,Shelters & Housing,60359103,69288753,0
HSD,Addressing Homelessness,Unsheltered Outreach and Response,0,0,7502009
HSD,Leadership and Administration,Departmental Indirect Costs,11902654,12580508,12828518
HSD,Preparing Youth for Success,Family Support,5087618,6186955,6759892
HSD,Preparing Youth for Success,Safety,5662075,7217195,86542
HSD,Preparing Youth for Success,Youth Development,8202884,8207827,7815347
HSD,Promoting Healthy Aging,Care Coordination,3227611,3165991,3090627
HSD,Promoting Healthy Aging,Case Management,27988972,34347107,36188281
HSD,Promoting Healthy Aging,Healthy Aging,11118698,11009234,11266477.72
HSD,Promoting Public Health,HIV Management,986759,1065966,1033313
HSD,Promoting Public Health,Physical Health Care,10045359,10853786,12500684
HSD,Supporting Affordability and Livability,Access to Services,3977852,4657503,4675522
HSD,Supporting Affordability and Livability,Community Facilities,4254155,8672325,5666342
HSD,Supporting Affordability and Livability,Emergency Preparedness and Program Administration,1936698,1181250,738823
HSD,Supporting Affordability and Livability,Food & Nutrition,15517371,18412356,18203072
HSD,Supporting Safe Communities,Advocacy,5986974,6304939,0
HSD,Supporting Safe Communities,Community Safety,0,0,16600134
HSD,Supporting Safe Communities,Gender-Based Violence Services,0,0,9979362
HSD,Supporting Safe Communities,Prevention & Intervention,1102131,1795997,0
HSD,Supporting Safe Communities,Safe Communities Division Administration,0,0,4291604
HSD,Supporting Safe Communities,Support Services,3269101,2770870,0
HSD,Supporting Safe Communities,Victim Advocacy,0,0,1280124
HXM,Office of the Hearing Examiner,Office of the Hearing Examiner,947036,1061713,1061517
ITD,Applications,Applications,0,0,0
ITD,Applications,Applications Maintenance,0,0,0
ITD,Applications,Business Applications,0,28262642,23302474
ITD,Applications,Cross Platform Services,0,0,0
ITD,Applications,Department Initiatives,0,49098474,55887219
ITD,Applications,Div Indirect - App Services,0,0,0
ITD,Applications,Platform Applications,0,18129322,17662168
ITD,Applications,Service Modernization,0,11388399,11568526
ITD,Applications,Shared Platforms,0,0,0
ITD,Cable Franchise,Cable Franchise for Info Tech,0,7343268,7171058
ITD,Cable Franchise,Cable Franchise for Library,0,0,0
ITD,Capital Improvement Projects,Application Services CIP,13575035,13453310,11679600
ITD,Capital Improvement Projects,Communications CIP,0,8843131,12875262
ITD,Capital Improvement Projects,Customer Support Services CIP,0,1,0
ITD,Capital Improvement Projects,Enterprise Compute Services CIP,0,2092069,7484983
ITD,Capital Improvement Projects,Fiber Enterprise Initiatives CIP,0,4244846,4356485
ITD,Capital Improvement Projects,Programmatic Initiatives CIP,6789195,2300000,0
ITD,Capital Improvement Projects,Radio Communications CIP,1100,686981,705049
ITD,Capital Improvement Projects,Seattle Channel CIP,202038,328130,336759
ITD,Capital Improvement Projects,Security CIP,0,0,0
ITD,Client Solutions,Budget for Billed Services,0,0,0
ITD,Client Solutions,Citywide IT Initiatives,0,0,0
ITD,Client Solutions,Client Services Management,0,0,0
ITD,Client Solutions,Client Solutions,0,5771525,5077785
ITD,Client Solutions,Dept Operational Projects,0,0,0
ITD,Client Solutions,Project Services,0,0,0
ITD,Digital Security & Risk,Digital Security & Risk,0,5299398,8448605
ITD,Digital Security & Risk,"Security, Risk & Compliance",0,0,0
ITD,Frontline Services and Workplace,Broadband & Community Tech,0,0,0
ITD,Frontline Services and Workplace,Community Technology and Broadband,0,1856004,1264200
ITD,Frontline Services and Workplace,Digital Services,0,0,0
ITD,Frontline Services and Workplace,Digital Workplace,0,11901778,12340264
ITD,Frontline Services and Workplace,Frontline Digital Services,0,29178874,27218103
ITD,Frontline Services and Workplace,Open Data,0,0,0
ITD,Frontline Services and Workplace,Privacy,0,0,0
ITD,Frontline Services and Workplace,Seattle Channel,0,0,0
ITD,Leadership and Administration,Business Office,8890016,0,0
ITD,Leadership and Administration,Chief of Staff,0,12800867,0
ITD,Leadership and Administration,Chief Privacy Office,0,647286,0
ITD,Leadership and Administration,Citywide Indirect Costs,25856464,14125862,6850652
ITD,Leadership and Administration,CTO / Executive Team,3954537,3761220,0
ITD,Leadership and Administration,Departmental Indirect Costs,0,0,18306629
ITD,Leadership and Administration,Executive Advisor,0,1763268,0
ITD,Leadership and Administration,Pooled Benefits and PTO,709312,-180120,-28468
ITD,Leadership and Administration,Strategy & Planning,1824825,0,0
ITD,Technology Infrastructure,Business Advancement Team,0,200958,0
ITD,Technology Infrastructure,Communications Infrastructure,0,9191555,7620877
ITD,Technology Infrastructure,Customer Support Services,0,0,0
ITD,Technology Infrastructure,Database Systems,0,2016207,2488442
ITD,Technology Infrastructure,Div Indirect - Eng & Ops,0,0,0
ITD,Technology Infrastructure,Engineering & Ops Maintenance,0,0,0
ITD,Technology Infrastructure,Enterprise Computing,0,0,0
ITD,Technology Infrastructure,Enterprise Services,0,2661847,2786474
ITD,Technology Infrastructure,Infrastructure Tools,0,3631904,4112705
ITD,Technology Infrastructure,Network & Communications Tech,0,0,0
ITD,Technology Infrastructure,Network Operations,0,7971567,7295173
ITD,Technology Infrastructure,Operations Support,0,0,0
ITD,Technology Infrastructure,Radio Management,0,2511996,2565811
ITD,Technology Infrastructure,Systems Engineering,0,5955058,3215297
ITD,Technology Infrastructure,Telephone Engineering,0,5492778,6095207
ITD,Technology Infrastructure,Windows Systems,0,8993659,7872163
LAW,Civil,Civil,13635076,15178200,15639144
LAW,Criminal,Criminal,7981360,8558844,8582300
LAW,Leadership and Administration,Citywide Indirect Costs,4701313,4187796,4747947
LAW,Leadership and Administration,Departmental Indirect Costs,2041147,2164844,2405440
LAW,Leadership and Administration,Pooled Benefits,2974830,3274854,3368770
LAW,Precinct Liaison,Precinct Liaison,696316,862137,701808
LEG,Leadership and Administration,Citywide Indirect Costs,2735431,2513454,2897642
LEG,Leadership and Administration,Departmental Indirect Costs,1052243,1264085,1798592
LEG,Legislative Department,Central Staff,3373709,3995483,3760685
LEG,Legislative Department,City Clerk,3703148,3924261,3821245
LEG,Legislative Department,City Council,5770245,6121142,6163620
MO,Office of the Mayor,Office of the Mayor,6898240,7706715,7440359
OCR,Civil Rights,Civil Rights Enforcement,0,1672560,1782488
OCR,Civil Rights,Leadership and Administration,2373497,2907214,1575524
OCR,Civil Rights,Policy,639174,1245845,2355549
OCR,Civil Rights,RSJI,606487,1229464,1284421
OED,Business Services,Business Services,0,8992385,12005883
OED,Leadership and Administration,Citywide Indirect Costs,736146,794810,811449
OED,Leadership and Administration,Departmental Indirect Costs,1360805,1283929,1245439
OED,Leadership and Administration,Pooled Benefits,583894,481413,554363
OEO,Office of Employee Ombud,Employee Ombud Office,347119,1278671,733298
OH,Homeownership & Sustainability,Home Ownership,916541,16492055,2657545
OH,Homeownership & Sustainability,Home Repair,1237991,1341085,1349285
OH,Homeownership & Sustainability,Weatherization,4896272,5963294,5997393
OH,Leadership and Administration,Citywide Indirect Costs,1205975,1192440,1268302
OH,Leadership and Administration,Departmental Indirect Costs,2406053,2973952,2793834
OH,Leadership and Administration,Policy & Planning,1039545,1492710,2192892
OH,Leadership and Administration,Pooled Benefits,58192,33862,105966
OH,Multifamily Housing,Asset Management,2654974,3044025,3797030
OH,Multifamily Housing,Multifamily Lending,67876699,98117416,64374058
OIG,Office of Inspector General for Public Safety,Inspector General for Public Safety,1700050,2648238,2979486
OIR,Office of Intergovernmental Relations,Office of Intergovernmental Relations,0,2990574,2810942
OIRA,Office of Immigrant and Refugee Affairs,Office of Immigrant and Refuge,4374367,4379420,3864854
OLS,Office of Labor Standards,Office of Labor Standards,4583839,6864873,7276457
OPCD,Design Commission,Design Commission,546906,571108,593159
OPCD,Equitable Development Initiative,Equitable Development Initiative,0,0,5564948
OPCD,Planning and Community Development,Planning,10268767,29543063,7036531.959
OPCD,Planning and Community Development,Planning Commission Management,515126,609037,638469
OSE,Office of Sustainability and Environment,Office of Sustainability and Environment,0,12479394,16315126
PPEN,Police Relief and Pension,Death Benefits,14000,18000,18000
PPEN,Police Relief and Pension,Leadership and Administration,740372,856525,874782
PPEN,Police Relief and Pension,Medical Benefits,8336486,15380000,15380000
PPEN,Police Relief and Pension,Pensions,7885386,10378749,10378749
RET,Employee Benefit Management,Employee Benefit Management,23038423,21000778,8646345
SCL,Customer Focused - CIP,CUSTOMER AND BILLING,832166,603918,107335
SCL,Customer Focused - CIP,CUSTOMER IT SYSTEMS,0,1957029,1829581
SCL,Customer Focused - CIP,CUSTOMER OTHER,1324001,330095,0
SCL,Customer Focused - CIP,LOCAL JURISDICTIONS,10885125,22288874,13313719
SCL,Customer Focused - CIP,SERVICE CONNECTIONS,74950535,60446156,59548500
SCL,Customer Focused - CIP,TRANSPORTATION RELOCATIONS,15023553,28487607,19762439
SCL,Customer Service,CHIEF OF STAFF O&M,0,0,0
SCL,Customer Service,GENERAL MANAGER ADMIN O&M,0,0,-29164
SCL,Customer Service,GENERAL MANAGER OPS O&M,0,0,48052846
SCL,Debt Services,DEBT SVS OPS,227424569,240913369,237513203
SCL,Energy Innovation and Resources O&M,CES DEF O&M,0,37200449,0
SCL,Energy Innovation and Resources O&M,ENERGY INNOVATION & RESOURCES ADMIN,0,6025556,8637245
SCL,Energy Innovation and Resources O&M,ENERGY INNOVATION & RESOURCES O&M,0,23908928,14806568
SCL,Environmental Affairs O&M,ENVIRO AFFAIRS ADMIN O&M,8042853,8997178,10052374
SCL,Environmental Affairs O&M,ENVIRO AFFAIRS DEFERRED O&M,2610571,2682663,2327806
SCL,Environmental Affairs O&M,ENVIRO AFFAIRS OPS O&M,4411618,5174051,5253589
SCL,Financial Services - CIP,FINANCE AND IT SYSTEMS,0,0,0
SCL,Generation Operations and Engineering O&M,GENERATION OPS & ENG ADMIN O&M,27378166,30401835,29570112
SCL,Leadership and Administration,CITY ALLOCATIONS,0,0,64478959
SCL,Leadership and Administration,DEPARTMENT WIDE COSTS,0,0,46093273
SCL,Leadership and Administration,Indirect Cost Recovery,0,0,-111554271
SCL,Leadership and Administration,Indirect Cost Recovery Offset,-9462139,0,0
SCL,Leadership and Administration,PEOPLE AND CULTURE ADMIN O&M,0,0,-64566
SCL,Leadership and Administration,Pooled Benefits and PTO,0,0,70535403
SCL,Leadership and Administration - Facilities and Oversight,FACILITIES ADMIN O&M,0,10871454,0
SCL,Leadership and Administration - Financial Services O&M,FINANCIAL SERVICES O&M,17065507,12282783,0
SCL,Leadership and Administration - Financial Services O&M,Indirect Cost Recovery Offset,-9462139,-5944020,0
SCL,Long Term Purchased Power,LONG TERM PURCH PWR OPS O&M,284908555,307722319,276523694
SCL,Power Supply - CIP,BOUNDARY,38071484,0,41849396
SCL,Power Supply - CIP,CEDAR FALLS - TOLT,3494122,0,6700201
SCL,Power Supply - CIP,FLEETS AND FACILITIES,15820537,0,20371010
SCL,Power Supply - CIP,POWER SUPPLY OTHER,8714597,0,2235428
SCL,Power Supply - CIP,SKAGIT,18758562,0,21787358
SCL,Power System Operations and Asset Management O&M,SYS OPS & ASSET MGMT ADMIN O&M,0,9217781,17374559
SCL,Power System Operations and Asset Management O&M,SYS OPS & ASSET MGMT OPS O&M,0,24343713,24390294
SCL,Short Term Purchased Power,SHORT TERM PURCH PWR OPS O&M,51347746,40408243,45410408
SCL,Taxes,TAXES OPS O&M,103379486,108556535,107361424
SCL,Transmission and Distribution - CIP,DISTRIBUTION OTHER,10353778,19617108,21412396
SCL,Transmission and Distribution - CIP,NETWORK,41682451,27720013,26713358
SCL,Transmission and Distribution - CIP,RADIAL,55672447,64221417,81227390
SCL,Transmission and Distribution - CIP,SUBSTATIONS,41612146,27562663,28519766
SCL,Transmission and Distribution - CIP,TRANSMISSION,12535078,8442628,16437304
SCL,Transmission and Distribution O&M,TRANSMISSION & DISTRIB ADMIN O&M,0,9734848,12243452
SCL,Transmission and Distribution O&M,TRANSMISSION & DISTRIB FLEET O&M,0,15965832,16635600
SCL,Transmission and Distribution O&M,TRANSMISSION & DISTRIB POWER DISTRIB OPS O&M,0,73991335,70329316
SDCI,Compliance,Compliance,7280669,8492156,9519887.827
SDCI,Compliance,Rental Housing,1693324,2124557,2160668
SDCI,"Government Policy, Safety & Support","Govt Policy, Safety & Support",2265666,2754259,2275989
SDCI,Inspections,Inspections,21069562,22825122,23914754
SDCI,Inspections,Inspections Services CBA,0,2726100,2726100
SDCI,Land Use Services,Land Use Services,17107829,21979865,22603024
SDCI,Land Use Services,Land Use Services CBA,0,1672241,1672241
SDCI,Leadership and Administration,Citywide Indirect Costs,36483,22090564,23382591
SDCI,Leadership and Administration,Departmental Indirect Costs,-12012,3813536,4068703
SDCI,Leadership and Administration,Divisional Indirect Costs,23320,2783467,2951440
SDCI,Leadership and Administration,Indirect Cost Recovery Offset,0,-28658332,-30402734
SDCI,Permit Services,Permit Services,21543557,24756782,25409275
SDCI,Permit Services,Permit Services CBA,0,3666136,3666136
SDCI,Process Improvements & Technology,Process Improvements and Tech,4557944,5153009,5158285
SDHR,GTL/LTD/AD&D Insurance Service,GTL/LTD/AD&D Insurance,6466162,6645783,6663381
SDHR,Health Care Services,Health Care Services,243204812,265694580,277670290
SDHR,HR Services,HR Investigations,0,1153007,1343833
SDHR,HR Services,HR Service Delivery,0,0,1767510
SDHR,HR Services,HR Shared/Admin Services,8002047,10471813,8310447
SDHR,HR Services,HR Work Force Equity,3248641,3086917,3311497
SDHR,HR Services,Labor Relations,2440221,2352389,2481521
SDHR,HR Services,Recruit Retent,0,0,2335130
SDHR,HR Services,Training/Org Effectiveness,1963731,2623253,2322377
SDHR,Industrial Insurance Services,Industrial Insurance Services,21154126,23579900,23940991
SDHR,Leadership and Administration,Citywide Indirect Costs,2732040,3729098,2794864
SDHR,Leadership and Administration,Departmental Indirect Costs,2871267,3038220,4006738
SDHR,Leadership and Administration,Divisional Indirect Costs,5341482,4302667,4900729
SDHR,Leadership and Administration,Indirect Cost Recovery,-10316867,-11893349,-13094886
SDHR,Leadership and Administration,Pooled Benefits,15050,2080364,2130555
SDHR,Unemployment Services,Unemployment Services,2260814,2130000,4735984
SDOT,Bridges & Structures,Bridge Operations,3757936,3902269,3923867
SDOT,Bridges & Structures,Engineering & Ops Support,15513240,2285329,1589400
SDOT,Bridges & Structures,Structures Engineering,1090555,1008015,1356154
SDOT,Bridges & Structures,Structures Maintenance,6110525,7743404,9515991
SDOT,Central Waterfront,Central Waterfront,0,139628075,68650059
SDOT,First Hill Streetcar Operations,First Hill Streetcar Ops,13147245,9420748,9466145
SDOT,General Expense,Citywide Initiatives,12430,14150000,5296014
SDOT,General Expense,Debt Service,34159607,37900450,41890893
SDOT,General Expense,Judgment & Claims,2590087,2590087,8098973
SDOT,Leadership and Administration,Citywide Indirect Costs,41665546,39733357,44965979
SDOT,Leadership and Administration,Departmental Indirect Costs,16632028,18968116,17888096
SDOT,Leadership and Administration,Divisional Indirect Costs,13421046,12147358,11413509
SDOT,Leadership and Administration,Indirect Cost Recovery Offset,-73429383,-69265285,-73357349
SDOT,Leadership and Administration,Pooled Benefits and PTO,4017609,0,0
SDOT,Maintenance Operations,Emergency Response,11697155,4840587,4704695
SDOT,Maintenance Operations,Operations Support,5566452,4956495,5026700
SDOT,Maintenance Operations,Pavement Management/Repair,15330146,14732700,15064086
SDOT,Maintenance Operations,Street Cleaning,7428828,7878769,8582820
SDOT,Maintenance Operations,Tree & Landscape Maintenance,6236258,6313717,6367138
SDOT,Major Maintenance/Replacement,Bridges & Structures,23022477,38795436,46259735
SDOT,Major Maintenance/Replacement,Landslide Mitigation,369671,475349,282212
SDOT,Major Maintenance/Replacement,Roads,52112724,61154175,27249234
SDOT,Major Maintenance/Replacement,Sidewalk Maintenance,6194151,3807479,3063723
SDOT,Major Maintenance/Replacement,"Signs, Signals and Markings",1482013,1657420,1435737
SDOT,Major Maintenance/Replacement,Trails and Bike Paths,1620914,1236594,1067125
SDOT,Major Maintenance/Replacement,Urban Forestry,309342,8936,8937
SDOT,Major Projects,Alaskan Way Viaduct,6414130,0,0
SDOT,Major Projects,SR-520,1113690,109328,805931
SDOT,Mobility Operations,Commuter Mobility,27614996,17875325,13861293
SDOT,Mobility Operations,Neighborhoods,1233488,1153967,1041261
SDOT,Mobility Operations,Parking & Curbspace,12685712,14767719,12900993
SDOT,Mobility Operations,Signs & Markings,3663121,4191653,4232251
SDOT,Mobility Operations,Traffic Signals,10066842,9487442,9889766
SDOT,Mobility Operations,Transit Operations,59166887,66851338,32128132
SDOT,Mobility Operations,Urban Planning,3655894,3393950,2979501
SDOT,Mobility-Capital,Corridor & Intersection Imprv,25994501,40668696,43006274
SDOT,Mobility-Capital,Freight Mobility,30406559,38752769,18110133
SDOT,Mobility-Capital,Intelligent Transp System,4257520,3259933,7515393
SDOT,Mobility-Capital,Neighborhood Enhancements,7191672,9415342,7991922
SDOT,Mobility-Capital,New Trails and Bike Paths,19868876,32994949,16647527
SDOT,Mobility-Capital,Sidewalks & Ped Facilities,28346746,36641122,31725687
SDOT,Mobility-Capital,Transit & HOV,14547649,48824755,86152354
SDOT,ROW Management,St Use Permit & Enforcement,31749391,40114478,42995188
SDOT,South Lake Union Streetcar Operations,S Lake Union Streetcar Ops,5022377,4356843,4224358
SDOT,Waterfront and Civic Projects,Waterfront and Civic Projects,0,-1,30612193
SFD,Fire Prevention,Code Compliance,546193,553744,765973
SFD,Fire Prevention,Fire Investigations,1363713,1462796,1637699
SFD,Fire Prevention,Office of the Fire Marshall,1518763,1656802,1666739
SFD,Fire Prevention,Regulating Construction,3205766,3602674,3670007
SFD,Fire Prevention,Special Events,806389,623994,649171
SFD,Fire Prevention,Special Hazards,2228187,2463786,2463154
SFD,Leadership and Administration,Citywide Indirect Costs,27436838,27484410,26761601
SFD,Leadership and Administration,Departmental Indirect Costs,12897046,13095232,14040315
SFD,Operations,Battalion 2,24086491,28622069,32890867
SFD,Operations,Battalion 3 Medic One,15058291,13800973,16331702
SFD,Operations,Battalion 4,25104775,27789372,30938194
SFD,Operations,Battalion 5,25242840,26215032,29434797
SFD,Operations,Battalion 6,23540817,24572992,26783493
SFD,Operations,Battalion 7,24268220,21932565,23828984
SFD,Operations,Communications,5713791,5201055,6613774
SFD,Operations,Office of the Operations Chief,6835098,7452309,9414190
SFD,Operations,Operations Activities,24983583,16020864,19908444
SFD,Operations,Safety and Risk Management,1939157,1391961,1540027
SMC,Administration,Citywide Indirect Costs,7949533,7297934,10133393
SMC,Administration,Departmental Indirect Costs,5904417,6201629,5986033
SMC,Court Compliance,Court Compliance,5569069,6009503,4905269
SMC,Court Operations,Court Operations,15785264,16797535,17352506
SPD,Administrative Operations,Administrative Operations,43813705,39090706,28722769.25
SPD,Chief of Police,Chief of Police,10967421,7157843,7580472
SPD,Chief of Police,Emergency Management Operations,0,3110533,0
SPD,Collaborative Policing,Collaborative Policing,0,13131820,12590845
SPD,Compliance and Professional Standards Bureau,Compliance & Prof. Standards,3515592,4610702,4648249
